"","uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19",">=50","10 a 14","ano"
"1","AC",10,8,4,0,0,0,2015
"2","AL",55,79,13,3,1,0,2015
"3","AM",61,82,17,6,0,0,2015
"4","AP",23,16,10,0,0,0,2015
"5","BA",360,562,128,36,3,0,2015
"6","CE",203,358,69,8,2,2,2015
"7","DF",129,270,64,14,2,2,2015
"8","ES",183,323,38,11,3,0,2015
"9","GO",222,288,51,18,10,1,2015
"10","MA",94,155,41,12,0,0,2015
"11","MG",710,1281,225,66,13,2,2015
"12","MS",91,121,33,8,4,0,2015
"13","MT",55,80,13,4,0,0,2015
"14","PA",152,195,29,24,1,0,2015
"15","PB",65,102,23,3,1,0,2015
"16","PE",148,274,46,19,4,0,2015
"17","PI",58,88,13,8,1,0,2015
"18","PR",395,644,100,41,5,4,2015
"19","RJ",613,1011,219,64,7,3,2015
"20","RN",113,219,49,10,3,0,2015
"21","RO",68,100,15,3,1,2,2015
"22","RR",7,11,1,1,1,0,2015
"23","RS",161,305,52,12,1,0,2015
"24","SC",261,500,81,12,3,2,2015
"25","SE",32,65,10,1,0,0,2015
"26","SP",2368,3905,833,254,62,8,2015
"27","TO",11,16,3,1,0,1,2015
"28","AC",4,6,1,0,0,0,2016
"29","AL",53,99,20,6,2,0,2016
"30","AM",113,157,34,11,0,1,2016
"31","AP",17,30,10,5,1,0,2016
"32","BA",314,590,141,35,1,4,2016
"33","CE",263,481,81,10,0,0,2016
"34","DF",102,237,52,13,6,0,2016
"35","ES",182,355,69,14,1,0,2016
"36","GO",185,354,45,18,8,0,2016
"37","MA",115,139,24,6,0,1,2016
"38","MG",687,1421,313,66,10,1,2016
"39","MS",69,121,19,6,2,3,2016
"40","MT",106,145,30,14,0,1,2016
"41","PA",154,163,29,17,2,0,2016
"42","PB",67,117,31,3,2,0,2016
"43","PE",181,249,64,15,2,1,2016
"44","PI",75,91,10,4,0,0,2016
"45","PR",372,660,96,40,9,1,2016
"46","RJ",690,1257,252,79,14,6,2016
"47","RN",93,228,49,4,1,1,2016
"48","RO",65,104,7,5,1,0,2016
"49","RR",0,7,1,0,0,0,2016
"50","RS",146,298,72,5,3,0,2016
"51","SC",233,468,72,7,3,0,2016
"52","SE",21,55,6,1,0,0,2016
"53","SP",2580,4698,1077,271,58,9,2016
"54","TO",20,28,5,0,0,0,2016
"55","AC",12,15,3,0,0,0,2017
"56","AL",117,196,40,12,0,0,2017
"57","AM",34,84,14,4,0,0,2017
"58","AP",17,43,8,3,0,0,2017
"59","BA",468,882,199,44,4,4,2017
"60","CE",283,646,135,18,1,1,2017
"61","DF",80,191,53,10,2,0,2017
"62","ES",210,483,99,15,1,2,2017
"63","GO",284,460,84,27,3,0,2017
"64","MA",115,206,33,7,0,0,2017
"65","MG",826,1835,355,67,8,2,2017
"66","MS",96,203,31,8,5,1,2017
"67","MT",138,208,34,15,0,0,2017
"68","PA",142,187,35,13,0,1,2017
"69","PB",149,254,48,4,4,0,2017
"70","PE",237,482,88,25,1,0,2017
"71","PI",102,197,39,8,3,0,2017
"72","PR",491,815,125,36,2,2,2017
"73","RJ",689,1398,348,81,20,6,2017
"74","RN",87,262,47,3,0,0,2017
"75","RO",56,112,12,5,1,0,2017
"76","RR",6,11,2,0,0,0,2017
"77","RS",133,328,71,9,4,0,2017
"78","SC",224,470,84,6,0,1,2017
"79","SE",65,150,37,6,2,0,2017
"80","SP",2569,5257,1154,259,58,12,2017
"81","TO",24,39,10,0,0,0,2017
"82","AC",8,19,8,1,0,0,2018
"83","AL",91,180,42,6,0,0,2018
"84","AM",21,69,14,7,0,0,2018
"85","AP",25,48,10,2,0,0,2018
"86","BA",300,628,130,25,5,4,2018
"87","CE",204,636,129,11,1,0,2018
"88","DF",50,153,56,7,1,0,2018
"89","ES",156,389,96,9,0,3,2018
"90","GO",270,464,84,26,2,0,2018
"91","MA",88,177,20,8,0,0,2018
"92","MG",768,1884,385,49,12,0,2018
"93","MS",93,211,53,8,11,1,2018
"94","MT",160,216,46,10,3,0,2018
"95","PA",121,189,38,8,0,0,2018
"96","PB",90,210,45,2,1,1,2018
"97","PE",178,417,91,8,2,1,2018
"98","PI",79,131,27,5,0,0,2018
"99","PR",393,785,151,32,8,2,2018
"100","RJ",586,1315,346,55,17,2,2018
"101","RN",103,249,57,4,2,1,2018
"102","RO",57,106,18,9,0,0,2018
