"uf_beneficiaria_sigla","15 a 19","20 a 29","30 a 39","40 a 49","10 a 14",">=50"
"AC",1,8,19,8,NA,NA
"AL",6,91,180,42,NA,NA
"AM",7,21,69,14,NA,NA
"AP",2,25,48,10,NA,NA
"BA",25,300,628,130,4,5
"CE",11,204,636,129,NA,1
"DF",7,50,153,56,NA,1
"ES",9,156,389,96,3,NA
"GO",26,270,464,84,NA,2
"MA",8,88,177,20,NA,NA
"MG",49,768,1884,385,NA,12
"MS",8,93,211,53,1,11
"MT",10,160,216,46,NA,3
"PA",8,121,189,38,NA,NA
"PB",2,90,210,45,1,1
"PE",8,178,417,91,1,2
"PI",5,79,131,27,NA,NA
"PR",32,393,785,151,2,8
"RJ",55,586,1315,346,2,17
"RN",4,103,249,57,1,2
"RO",9,57,106,18,NA,NA
"RR",NA,4,9,4,NA,NA
"RS",8,117,300,54,NA,1
"SC",11,230,450,96,NA,4
"SE",5,28,85,19,NA,NA
"SP",217,2151,4711,1060,5,40
"TO",3,29,54,8,NA,NA
