"uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49",">=50","15 a 19","10 a 14"
"AC",3,29,5,1,NA,NA
"AL",88,160,45,3,6,NA
"AM",22,69,15,NA,NA,NA
"AP",24,24,5,NA,1,NA
"BA",244,561,174,1,25,NA
"CE",316,717,181,2,17,1
"DF",41,93,51,4,2,NA
"ES",113,337,93,2,5,NA
"GO",191,398,98,3,8,1
"MA",187,318,66,2,9,NA
"MG",663,1547,438,14,45,2
"MS",88,143,32,3,3,NA
"MT",158,270,59,NA,12,NA
"PA",130,277,63,1,12,NA
"PB",70,172,38,1,3,1
"PE",161,289,91,1,9,1
"PI",89,158,40,NA,11,NA
"PR",290,605,161,17,16,1
"RJ",430,887,302,23,39,2
"RN",121,264,77,1,6,NA
"RO",37,98,13,3,3,NA
"RR",NA,8,1,NA,NA,NA
"RS",126,312,84,NA,5,NA
"SC",192,441,122,4,3,NA
"SE",49,129,32,4,3,NA
"SP",1704,3622,1034,38,132,5
"TO",30,75,19,NA,1,NA
