"uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19",">=50","10 a 14"
"AC",8,6,4,NA,NA,NA
"AL",88,178,44,5,2,NA
"AM",21,57,25,4,1,1
"AP",5,15,4,NA,4,NA
"BA",280,547,175,15,1,3
"CE",295,735,186,15,4,2
"DF",47,99,34,6,2,NA
"ES",118,285,89,5,7,NA
"GO",219,416,102,8,3,NA
"MA",177,359,101,16,NA,NA
"MG",557,1567,493,45,10,1
"MS",75,227,61,7,2,1
"MT",149,274,64,14,1,NA
"PA",116,236,78,10,1,NA
"PB",88,197,56,4,NA,NA
"PE",153,299,74,14,2,NA
"PI",83,165,45,7,1,NA
"PR",344,709,175,20,10,NA
"RJ",465,945,311,30,17,1
"RN",98,220,70,5,NA,NA
"RO",45,112,37,2,1,NA
"RR",1,5,1,NA,NA,NA
"RS",99,276,82,4,2,NA
"SC",211,517,109,13,2,NA
"SE",32,100,32,6,1,NA
"SP",1662,3380,974,96,30,4
"TO",19,65,22,1,NA,NA
