"UF_sigla","ano","sih_30_a_39","sih_40_a_49","sih_menor_30","sih_total"
"AC","2015",322,66,759,1147
"AC","2016",348,91,695,1134
"AC","2017",358,93,718,1169
"AC","2018",332,104,619,1055
"AC","2019",256,49,439,744
"AC","2020",263,67,497,827
"AC","2021",315,97,551,963
"AC","2022",267,85,494,846
"AC","2023",257,101,472,830
"AL","2015",781,167,2044,2992
"AL","2016",725,153,1980,2858
"AL","2017",791,159,2034,2984
"AL","2018",798,191,1745,2734
"AL","2019",804,162,1593,2559
"AL","2020",653,145,1486,2284
"AL","2021",708,163,1443,2314
"AL","2022",612,142,1204,1958
"AL","2023",485,140,993,1618
"AM","2015",747,173,1858,2778
"AM","2016",919,191,2155,3265
"AM","2017",1033,230,2502,3765
"AM","2018",1164,294,2539,3997
"AM","2019",1120,264,2321,3705
"AM","2020",989,253,2165,3407
"AM","2021",931,234,2095,3260
"AM","2022",854,258,1843,2955
"AM","2023",700,201,1460,2361
"AP","2015",434,78,929,1441
"AP","2016",405,99,740,1244
"AP","2017",385,70,749,1204
"AP","2018",359,110,720,1189
"AP","2019",371,92,645,1108
"AP","2020",393,89,661,1143
"AP","2021",294,73,505,872
"AP","2022",276,85,462,823
"AP","2023",236,58,388,682
"BA","2015",4100,772,7792,12664
"BA","2016",4181,823,7382,12386
"BA","2017",4282,872,7127,12281
"BA","2018",4230,916,6823,11969
"BA","2019",3933,921,6083,10937
"BA","2020",3346,891,5393,9630
"BA","2021",3324,917,5007,9248
"BA","2022",3206,948,4796,8950
"BA","2023",2924,908,4329,8161
"CE","2015",2405,618,4792,7815
"CE","2016",2322,571,4379,7272
"CE","2017",2471,614,4404,7489
"CE","2018",2588,686,4281,7555
"CE","2019",2503,717,3975,7195
"CE","2020",2188,625,3503,6316
"CE","2021",2034,612,3174,5820
"CE","2022",1999,620,3046,5665
"CE","2023",1784,549,2621,4954
"DF","2015",661,147,990,1798
"DF","2016",573,137,881,1591
"DF","2017",512,165,764,1441
"DF","2018",514,158,833,1505
"DF","2019",631,168,740,1539
"DF","2020",458,173,588,1219
"DF","2021",412,125,534,1071
"DF","2022",377,165,547,1089
"DF","2023",370,122,567,1059
"ES","2015",730,179,1365,2274
"ES","2016",701,149,1288,2138
"ES","2017",693,167,1211,2071
"ES","2018",691,167,1099,1957
"ES","2019",714,161,1084,1959
"ES","2020",641,168,1041,1850
"ES","2021",663,170,966,1799
"ES","2022",587,200,917,1704
"ES","2023",554,155,796,1505
"GO","2015",927,175,1922,3024
"GO","2016",762,143,1576,2481
"GO","2017",880,150,1698,2728
"GO","2018",900,187,1611,2698
"GO","2019",757,205,1534,2496
"GO","2020",738,165,1335,2238
"GO","2021",723,169,1311,2203
"GO","2022",738,197,1298,2233
"GO","2023",638,202,1174,2014
"MA","2015",1216,186,3621,5023
"MA","2016",1127,198,3326,4651
"MA","2017",1419,248,3779,5446
"MA","2018",1759,299,4141,6199
"MA","2019",1838,329,4211,6378
"MA","2020",1723,331,3705,5759
"MA","2021",1785,332,3783,5900
"MA","2022",1622,315,3217,5154
"MA","2023",1235,283,2731,4249
"MG","2015",4453,1065,7735,13253
"MG","2016",4409,1094,7412,12915
"MG","2017",4520,1166,7487,13173
"MG","2018",4451,1166,7048,12665
"MG","2019",4187,1118,6141,11446
"MG","2020",3641,1075,5469,10185
"MG","2021",3603,1120,5366,10089
"MG","2022",3427,1098,5089,9614
"MG","2023",3142,962,4534,8638
"MS","2015",417,78,902,1397
"MS","2016",437,75,855,1367
"MS","2017",416,103,851,1370
"MS","2018",407,87,865,1359
"MS","2019",401,93,764,1258
"MS","2020",383,110,745,1238
"MS","2021",333,90,683,1106
"MS","2022",425,94,698,1217
"MS","2023",312,85,565,962
"MT","2015",450,91,1098,1639
"MT","2016",394,69,890,1353
"MT","2017",398,72,899,1369
"MT","2018",507,108,946,1561
"MT","2019",498,100,967,1565
"MT","2020",411,108,845,1364
"MT","2021",584,129,1046,1759
"MT","2022",608,159,1209,1976
"MT","2023",505,117,960,1582
"PA","2015",1396,264,4495,6155
"PA","2016",1436,256,3829,5521
"PA","2017",1572,281,4395,6248
"PA","2018",1644,323,4264,6231
"PA","2019",1518,276,3786,5580
"PA","2020",1387,322,3664,5373
"PA","2021",1553,351,3676,5580
"PA","2022",1477,372,3539,5388
"PA","2023",1417,319,3188,4924
"PB","2015",1156,250,2159,3565
"PB","2016",1043,304,1875,3222
"PB","2017",1265,297,2205,3767
"PB","2018",1269,324,2009,3602
"PB","2019",1305,348,2042,3695
"PB","2020",975,252,1423,2650
"PB","2021",814,232,1271,2317
"PB","2022",797,219,1219,2235
"PB","2023",655,223,972,1850
"PE","2015",2441,519,5363,8323
"PE","2016",1942,412,4634,6988
"PE","2017",2393,502,4798,7693
"PE","2018",2329,554,4517,7400
"PE","2019",2284,594,4173,7051
"PE","2020",2012,465,3934,6411
"PE","2021",2093,515,3825,6433
"PE","2022",1914,523,3394,5831
"PE","2023",1809,490,3126,5425
"PI","2015",618,127,1468,2213
"PI","2016",654,132,1725,2511
"PI","2017",732,134,1715,2581
"PI","2018",782,148,1721,2651
"PI","2019",769,160,1551,2480
"PI","2020",717,139,1314,2170
"PI","2021",710,118,1198,2026
"PI","2022",683,140,1153,1976
"PI","2023",605,180,1112,1897
"PR","2015",1384,374,2646,4404
"PR","2016",1526,420,2865,4811
"PR","2017",1604,422,2879,4905
